"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"33","about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize",FALSE,69795,NA,2017-01-15 20:13:00,FALSE,NA,"820725491812487170",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15490,FALSE,FALSE,NA,NA
"34","Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...",FALSE,69176,NA,2017-01-15 20:04:38,FALSE,NA,"820723387995717632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16309,FALSE,FALSE,NA,NA
"35","For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",FALSE,127693,NA,2017-01-15 19:00:21,FALSE,NA,"820707210565132288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",29939,FALSE,FALSE,NA,NA
"36","will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",FALSE,78014,NA,2017-01-15 14:02:41,FALSE,NA,"820632299037409280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",15412,FALSE,FALSE,NA,NA
"37","The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",FALSE,78708,NA,2017-01-15 13:59:29,FALSE,NA,"820631495660408835",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16361,FALSE,FALSE,NA,NA
"38","Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",FALSE,122460,NA,2017-01-15 01:58:57,FALSE,NA,"820450166331346944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",25786,FALSE,FALSE,NA,NA
"39","Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!",FALSE,95796,NA,2017-01-15 00:22:01,FALSE,NA,"820425770925338624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",22501,FALSE,FALSE,NA,NA
"40","INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",FALSE,68946,NA,2017-01-14 13:14:13,FALSE,NA,"820257714362314753",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",19475,FALSE,FALSE,NA,NA
"41","mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",FALSE,77218,NA,2017-01-14 13:07:12,FALSE,NA,"820255947956383744",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",16916,FALSE,FALSE,NA,NA
"42","Congressman John Lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......",FALSE,88526,NA,2017-01-14 12:50:26,FALSE,NA,"820251730407473153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","realDonaldTrump",21454,FALSE,FALSE,NA,NA
